State,CandidateFavored,PercentECWinsFavored,PercentECWinsDemocrat,PercentECWinsRepublican,ElectoralVotes,WinFlag,SimpleCanidate
Alabama,The Republican nominee (Trump/Pence),1,0,1,9,1,Trump
Alaska,The Republican nominee (Trump/Pence),0.9896,0.0104,0.9896,3,1,Trump
Arizona,The Republican nominee (Trump/Pence),0.7428,0.2572,0.7428,11,1,Trump
Arkansas,The Republican nominee (Trump/Pence),1,0,1,6,1,Trump
California,The Democratic nominee (Biden/Harris),1,1,0,55,0,Biden
Colorado,The Democratic nominee (Biden/Harris),1,1,0,9,0,Biden
Connecticut,The Democratic nominee (Biden/Harris),0.5972,0.5972,0.4028,7,0,Biden
Delaware,The Democratic nominee (Biden/Harris),0.8998,0.8998,0.1002,3,0,Biden
District Of Columbia,The Democratic nominee (Biden/Harris),1,1,0,3,0,Biden
Florida,The Republican nominee (Trump/Pence),0.8926,0.1074,0.8926,29,1,Trump
Georgia,The Republican nominee (Trump/Pence),0.7772,0.2228,0.7772,16,1,Trump
Hawaii,The Democratic nominee (Biden/Harris),1,1,0,4,0,Biden
Idaho,The Republican nominee (Trump/Pence),0.9784,0.0216,0.9784,4,1,Trump
Illinois,The Democratic nominee (Biden/Harris),1,1,0,20,0,Biden
Indiana,The Republican nominee (Trump/Pence),1,0,1,11,1,Trump
Iowa,The Republican nominee (Trump/Pence),0.7864,0.2136,0.7864,6,1,Trump
Kansas,The Democratic nominee (Biden/Harris),1,1,0,6,0,Biden
Kentucky,The Republican nominee (Trump/Pence),1,0,1,8,1,Trump
Louisiana,The Republican nominee (Trump/Pence),1,0,1,8,1,Trump
Maine,The Republican nominee (Trump/Pence),0.6612,0.3388,0.6612,4,1,Trump
Maryland,The Democratic nominee (Biden/Harris),0.7282,0.7282,0.2718,10,0,Biden
Massachusetts,The Democratic nominee (Biden/Harris),1,1,0,11,0,Biden
Michigan,The Democratic nominee (Biden/Harris),0.6842,0.6842,0.3158,16,0,Biden
Minnesota,The Democratic nominee (Biden/Harris),1,1,0,10,0,Biden
Mississippi,The Republican nominee (Trump/Pence),1,0,1,6,1,Trump
Missouri,The Republican nominee (Trump/Pence),1,0,1,10,1,Trump
Montana,The Republican nominee (Trump/Pence),1,0,1,3,1,Trump
Nebraska,The Republican nominee (Trump/Pence),0.516,0.484,0.516,5,1,Trump
Nevada,The Republican nominee (Trump/Pence),0.974,0.026,0.974,6,1,Trump
New Hampshire,The Republican nominee (Trump/Pence),1,0,1,4,1,Trump
New Jersey,The Democratic nominee (Biden/Harris),1,1,0,14,0,Biden
New Mexico,The Democratic nominee (Biden/Harris),0.5246,0.5246,0.4754,5,0,Biden
New York,The Democratic nominee (Biden/Harris),1,1,0,29,0,Biden
North Carolina,The Republican nominee (Trump/Pence),1,0,1,15,1,Trump
North Dakota,The Republican nominee (Trump/Pence),0.9914,0.0086,0.9914,3,1,Trump
Ohio,The Republican nominee (Trump/Pence),0.88,0.12,0.88,18,1,Trump
Oklahoma,The Republican nominee (Trump/Pence),1,0,1,7,1,Trump
Oregon,The Democratic nominee (Biden/Harris),1,1,0,7,0,Biden
Pennsylvania,The Democratic nominee (Biden/Harris),0.985,0.985,0.015,20,0,Biden
Rhode Island,The Democratic nominee (Biden/Harris),1,1,0,4,0,Biden
South Carolina,The Republican nominee (Trump/Pence),1,0,1,9,1,Trump
South Dakota,The Republican nominee (Trump/Pence),1,0,1,3,1,Trump
Tennessee,The Republican nominee (Trump/Pence),1,0,1,11,1,Trump
Texas,The Republican nominee (Trump/Pence),1,0,1,38,1,Trump
Utah,The Republican nominee (Trump/Pence),0.7196,0.2804,0.7196,6,1,Trump
Vermont,The Democratic nominee (Biden/Harris),1,1,0,3,0,Biden
Virginia,The Democratic nominee (Biden/Harris),1,1,0,13,0,Biden
Washington,The Democratic nominee (Biden/Harris),1,1,0,12,0,Biden
West Virginia,The Republican nominee (Trump/Pence),1,0,1,5,1,Trump
Wisconsin,The Republican nominee (Trump/Pence),0.577,0.423,0.577,10,1,Trump
Wyoming,The Republican nominee (Trump/Pence),0.6148,0.3852,0.6148,3,1,Trump
